time,close,high,low,open,volume,ticker
2023-09-15,15620.0556640625,15689.017391297393,15482.13042828034,15585.574800445052,10071128,ACB
2023-09-18,15482.1298828125,15620.055113735267,15378.685514292347,15585.574251332653,9774597,ACB
2023-09-19,15378.685546875,15585.574284353637,15344.204684399332,15482.12991561432,13978031,ACB
2023-09-20,15482.1298828125,15551.091607617727,15344.204651889733,15378.685514292347,9514990,ACB
2023-09-21,15447.6474609375,15551.091830943193,15413.166598039716,15447.6474609375,10468910,ACB
2023-09-22,15378.685546875,15516.610778089987,15240.760315660013,15309.722040611348,16197980,ACB
2023-09-25,15171.796875,15413.166475998001,15171.796875,15378.685613373236,13353150,ACB
2023-09-26,15102.8349609375,15344.20455891794,15068.352317431509,15206.279328830875,12562692,ACB
2023-09-27,15171.796875,15171.796875,14999.390780563852,15102.83514975047,7670501,ACB
2023-09-28,14999.3916015625,15171.797705435376,14964.910737050408,15068.353330586682,10040156,ACB
2023-09-29,15068.3525390625,15206.279552490549,15033.87167636165,15033.87167636165,3407685,ACB
2023-10-02,15102.8349609375,15137.315823131192,14964.909730850433,15033.871455237817,5037799,ACB
2023-10-03,14895.9462890625,15102.835025736915,14895.9462890625,15033.87151974134,11648053,ACB
2023-10-04,14895.9462890625,14964.909795058074,14826.98367372308,14861.465426720866,4203301,ACB
2023-10-05,14895.9462890625,15137.315888078549,14895.9462890625,14999.390657399708,5092553,ACB
2023-10-06,15033.87109375,15102.834597791463,14861.46500561473,14895.945866979331,3227958,ACB
2023-10-09,15516.611328125,15551.09219182295,14964.910383708278,14964.910383708278,17559890,ACB
2023-10-10,15723.4990234375,15757.979884833949,15516.61029243429,15516.61029243429,8642670,ACB
2023-10-11,15654.5361328125,15723.499639620244,15551.091763257049,15723.499639620244,3753123,ACB
2023-10-12,15654.5361328125,15792.461365115658,15516.610900509342,15654.5361328125,7450700,ACB
2023-10-13,15620.0556640625,15654.536527679948,15516.611291897785,15585.574800445052,6204905,ACB
2023-10-16,15585.5751953125,15654.536924294569,15447.648174723523,15551.092549509047,6327898,ACB
2023-10-17,15482.1298828125,15620.055113735267,15482.1298828125,15585.574251332653,4837043,ACB
2023-10-18,15206.279296875,15482.129756469434,15206.279296875,15482.129756469434,8211138,ACB
2023-10-19,15033.87109375,15275.240685926736,15033.87109375,15206.27896319753,8211799,ACB
2023-10-20,15102.8349609375,15240.760191024565,15033.871455237817,15033.871455237817,5025765,ACB
